month_number;day_number;month_name;synaxaire;synaxaire_category;is_martyre
3;17;Hatour;Décès de saint Jean Chrysostome;Décès;0
3;18;Hatour;Martyre des saintes Atrasis et Yoana;Martyre;1
3;18;Hatour;Martyre de saint Philippe, l’apôtre;Martyre;1
3;19;Hatour;Consécration de l’église de saint Serge et saint Baccus;Consécration;0
3;19;Hatour;Commémoration de la prédication de l’apôtre saint Barthélémy;Commémoration;0
3;20;Hatour;Décès de saint Anien, le second pape d’Alexandrie;Décès;0
3;20;Hatour;Consécration de l’église des deux saints le prince Théodore, fils de Jean al Chatby et du prince Théodore al Michriki;Consécration;0
3;21;Hatour;Commémoration de sainte vierge Marie, la mère de Dieu;Commémoration;0
3;21;Hatour;Décès de saint Grégoire le Thaumaturge;Décès;0
3;21;Hatour;Décès de saint Côme, le cinquante quatrième pape d'Alexandrie;Décès;0
3;21;Hatour;Commémoration des saints Alphée, Zachée, Romain et Jean ainsi que des saints Thomas, Victor et Isaac d'al Achmounein;Commémoration;0
3;22;Hatour;Martyre de saint Côme et saint Damien, de leurs frères et de leur mère;Martyre;1
3;23;Hatour;Décès de saint Corneille, le centurion;Décès;0
3;23;Hatour;Consécration de l’église de sainte Marina;Consécration;0
3;24;Hatour;Commémoration des vingt quatre prêtres;Commémoration;0
3;25;Hatour;Martyre de saint Mercure;Martyre;1
3;26;Hatour;Martyre de saint Valérien et saint Tiburce son frère;Martyre;1
3;26;Hatour;Commémoration de saint Grégoire, évêque de Nysse;Commémoration;0
3;27;Hatour;Martyre de saint Jacques l’intercis;Martyre;1
3;28;Hatour;Martyre de saint Sarabamôn, évêque de Nikiou;Martyre;1
3;29;Hatour;Martyre de saint Pierre, le sceau des martyrs;Martyre;1
3;29;Hatour;Martyre de saint Clément, le pape de Rome;Martyre;1
3;30;Hatour;Martyre de saint Macaire;Martyre;1
3;30;Hatour;Décès de saint Acace, patriarche de Constantinople;Décès;0
3;30;Hatour;Consécration de l’église de saint Côme et saint Damien, de leurs frères et de leur mère;Consécration;0
4;1;Kiahk;Décès de saint Jean III, le 40ème patriarche de la prédication de saint Marc;Décès;0
4;1;Kiahk;Décès de saint Athanase III, le 76ème patriarche de la prédication de saint Marc;Décès;0
4;1;Kiahk;Décès de saint Pierre d'Edesse, évêque de Ghazza;Décès;0
4;1;Kiahk;Consécration de l'église du martyr Epipham, le soldat, à Abnoub;Consécration;0
