copt_code_date,coptic_date,synaxaire,month_name,month_number,day_number,synaxaire_category,is_martyre
230,30 Babah,"Consécration de l'église de saint Marc, l'évangéliste et apparition de sa tête sacrée",Babah,2,30,Consécration,0
230,30 Babah,Décès de saint Abraham l'hermite,Babah,2,30,Décès,0
31,1 Hatour,"Martyre des saints Maxime, Numitius, Victor et Philippe",Hatour,3,1,Martyre,1
31,1 Hatour,Commémoration de saint Cléopas et son compagnon,Hatour,3,1,Commémoration,0
32,2 Hatour,"Décès de saint Pierre III, le vingt septième pape d’Alexandrie",Hatour,3,2,Décès,0
33,3 Hatour,Décès de saint Cyriaque,Hatour,3,3,Décès,0
33,3 Hatour,Décès de saint Athanase et sa sœur Irène,Hatour,3,3,Décès,0
34,4 Hatour,"Martyre des saints Jean et Jacques, les évêques de Perse",Hatour,3,4,Martyre,1
34,4 Hatour,Martyre des saints Epimaque et Gordien,Hatour,3,4,Martyre,1
35,5 Hatour,Martyre de saint Timothée et transfert des reliques de saint Théodore à Chatab,Hatour,3,5,Martyre,1
35,5 Hatour,"Apparition de la tête de saint Longin, le soldat",Hatour,3,5,Apparition,0
36,6 Hatour,"Décès de saint Félix, pape de Rome",Hatour,3,6,Décès,0
36,6 Hatour,"Consécration de l'église de la sainte Vierge au monastère al Moharrak, au mont Kosquâm",Hatour,3,6,Consécration,0
37,7 Hatour,Martyre de saint Georges d'Alexandrie,Hatour,3,7,Martyre,1
37,7 Hatour,Martyre de saint Nehroua,Hatour,3,7,Martyre,1
37,7 Hatour,"Décès de saint Menas, l'évêque de Thmouï",Hatour,3,7,Décès,0
37,7 Hatour,Consécration de l'église de saint Georges de Cappadoce,Hatour,3,7,Consécration,0
38,8 Hatour,Commémoration des quatre vivants incorporels,Hatour,3,8,Commémoration,0
39,9 Hatour,"Décès d’abba Isaac, le quarante et unième pape d’Alexandrie",Hatour,3,9,Décès,0
39,9 Hatour,Tenue du concile de Nicée,Hatour,3,9,Tenue,0
310,10 Hatour,Martyre des 50 vierges et de leur mère spirituelle,Hatour,3,10,Martyre,1
310,10 Hatour,Réunion d’un concile à Rome au sujet de la fête de l’Epiphanie et du carême,Hatour,3,10,Réunion,0
311,11 Hatour,Décès de sainte Anne,Hatour,3,11,Décès,0
311,11 Hatour,"Commémoration du martyre de saint Archélaüs et de saint Elysée, l’higoumène",Hatour,3,11,Commémoration,0
312,12 Hatour,Commémoration de l’archange Michel,Hatour,3,12,Commémoration,0
313,13 Hatour,"Décès de saint Timothée, évêque d’Antinoë",Hatour,3,13,Décès,0
313,13 Hatour,"Décès de saint Zacharie, 64ème pape d’Alexandrie",Hatour,3,13,Décès,0
314,14 Hatour,"Décès de saint Martin, évêque de Tours",Hatour,3,14,Décès,0
315,15 Hatour,Martyre de saint Ménas,Hatour,3,15,Martyre,1
316,16 Hatour,"Martyre de saint Juste, l’évêque",Hatour,3,16,Martyre,1
316,16 Hatour,Commencement du jeûne de l’avent,Hatour,3,16,Commencement,0
316,16 Hatour,Consécration de l’église de saint Onuphre,Hatour,3,16,Consécration,0
317,17 Hatour,Décès de saint Jean Chrysostome,Hatour,3,17,Décès,0
318,18 Hatour,Martyre des saintes Atrasis et Yoana,Hatour,3,18,Martyre,1
318,18 Hatour,"Martyre de saint Philippe, l’apôtre",Hatour,3,18,Martyre,1
319,19 Hatour,Consécration de l’église de saint Serge et saint Baccus,Hatour,3,19,Consécration,0
319,19 Hatour,Commémoration de la prédication de l’apôtre saint Barthélémy,Hatour,3,19,Commémoration,0
320,20 Hatour,"Décès de saint Anien, le second pape d’Alexandrie",Hatour,3,20,Décès,0
320,20 Hatour,"Consécration de l’église des deux saints le prince Théodore, fils de Jean al Chatby et du prince Théodore al Michriki",Hatour,3,20,Consécration,0
321,21 Hatour,"Commémoration de sainte vierge Marie, la mère de Dieu",Hatour,3,21,Commémoration,0
321,21 Hatour,Décès de saint Grégoire le Thaumaturge,Hatour,3,21,Décès,0
321,21 Hatour,"Décès de saint Côme, le cinquante quatrième pape d'Alexandrie",Hatour,3,21,Décès,0
321,21 Hatour,"Commémoration des saints Alphée, Zachée, Romain et Jean ainsi que des saints Thomas, Victor et Isaac d'al Achmounein",Hatour,3,21,Commémoration,0
322,22 Hatour,"Martyre de saint Côme et saint Damien, de leurs frères et de leur mère",Hatour,3,22,Martyre,1
323,23 Hatour,"Décès de saint Corneille, le centurion",Hatour,3,23,Décès,0
323,23 Hatour,Consécration de l’église de sainte Marina,Hatour,3,23,Consécration,0
324,24 Hatour,Commémoration des vingt quatre prêtres,Hatour,3,24,Commémoration,0
325,25 Hatour,Martyre de saint Mercure,Hatour,3,25,Martyre,1
326,26 Hatour,Martyre de saint Valérien et saint Tiburce son frère,Hatour,3,26,Martyre,1
326,26 Hatour,"Commémoration de saint Grégoire, évêque de Nysse",Hatour,3,26,Commémoration,0
327,27 Hatour,Martyre de saint Jacques l’intercis,Hatour,3,27,Martyre,1
328,28 Hatour,"Martyre de saint Sarabamôn, évêque de Nikiou",Hatour,3,28,Martyre,1
329,29 Hatour,"Martyre de saint Pierre, le sceau des martyrs",Hatour,3,29,Martyre,1
329,29 Hatour,"Martyre de saint Clément, le pape de Rome",Hatour,3,29,Martyre,1
330,30 Hatour,Martyre de saint Macaire,Hatour,3,30,Martyre,1
330,30 Hatour,"Décès de saint Acace, patriarche de Constantinople",Hatour,3,30,Décès,0
330,30 Hatour,"Consécration de l’église de saint Côme et saint Damien, de leurs frères et de leur mère",Hatour,3,30,Consécration,0
41,1 Kiahk,"Décès de saint Jean III, le 40ème patriarche de la prédication de saint Marc",Kiahk,4,1,Décès,0
41,1 Kiahk,"Décès de saint Athanase III, le 76ème patriarche de la prédication de saint Marc",Kiahk,4,1,Décès,0
41,1 Kiahk,"Décès de saint Pierre d'Edesse, évêque de Ghazza",Kiahk,4,1,Décès,0
41,1 Kiahk,"Consécration de l'église du martyr Epipham, le soldat, à Abnoub",Kiahk,4,1,Consécration,0
41,1 Kiahk,"Consécration de l’église de saint Chénouté, l’archimandrite",Kiahk,4,1,Consécration,0
42,2 Kiahk,"Décès de saint Abba Hour, le moine",Kiahk,4,2,Décès,0
42,2 Kiahk,"Décès de saint Hormina, l’anachorète",Kiahk,4,2,Décès,0
43,3 Kiahk,Martyre de saint Bastavrôs le nouveau,Kiahk,4,3,Martyre,1
43,3 Kiahk,Entrée de la sainte Vierge Marie au temple de Jérusalem,Kiahk,4,3,Entrée,0
44,4 Kiahk,Martyre de saint André l’apôtre le frère de saint Pierre,Kiahk,4,4,Martyre,1
44,4 Kiahk,Consécration de l’église de saint Jean d’Héraclée à Om el Kossour à Manfalout,Kiahk,4,4,Consécration,0
44,4 Kiahk,Commémoration des reliques des deux saints  abba Pichoï et abba Paul,Kiahk,4,4,Commémoration,0
45,5 Kiahk,Martyre de saint Victor d’Assiout,Kiahk,4,5,Martyre,1
45,5 Kiahk,Martyre de saint Isidore,Kiahk,4,5,Martyre,1
45,5 Kiahk,Décès du saint prophète Nahoum,Kiahk,4,5,Décès,0
